transaction_id,entreprise_id,pays,notation_pays,score_risque_pays,montant,technique_paiement,date_ouverture,date_prevue,date_effective,delai_prevu,delai_reel,retard,is_late,risque_operationnel,fraude_suspectee,rang_transaction_entreprise,montant_precedent,evolution_montant_pct,score_aml
T000040,E0020,Pays-Bas,1,0.0,868547.31,Remise documentaire,2023-08-27,2023-09-15,2023-10-19,19,53,34,1,0,0,6,842150.2,3.13,26.9
T000041,E0037,Turquie,3,50.0,753740.69,Transfert,2021-10-16,2021-10-19,2021-10-19,3,3,0,0,0,0,5,1167630.59,-35.45,30.0
T000042,E0049,Pays-Bas,1,0.0,679558.52,Crédit documentaire,2022-04-08,2022-05-22,2022-05-22,44,44,0,0,0,0,5,1140973.33,-40.44,26.2
T000043,E0076,Allemagne,1,0.0,208591.2,Transfert,2023-12-31,2024-01-04,2024-01-04,4,4,0,0,0,0,10,616255.64,-66.15,16.0
T000044,E0030,Sénégal,4,75.0,512062.32,Transfert,2021-09-06,2021-09-09,2021-09-09,3,3,0,0,0,1,5,1201413.16,-57.38,38.6
T000045,E0135,Espagne,1,0.0,615744.49,Transfert,2024-02-26,2024-03-02,2024-03-02,5,5,0,0,0,0,9,639511.81,-3.72,17.3
T000046,E0058,Sénégal,4,75.0,1222848.89,Crédit documentaire,2023-09-02,2023-09-27,2023-10-12,25,40,15,1,0,0,9,914346.16,33.74,41.6
T000047,E0085,Belgique,1,0.0,937447.32,Transfert,2023-04-14,2023-04-19,2023-04-19,5,5,0,0,0,0,11,1552809.8,-39.63,20.8
T000048,E0072,Sénégal,4,75.0,94783.94,Remise documentaire,2023-06-25,2023-07-07,2023-07-07,12,12,0,0,1,1,7,1480885.98,-93.6,39.3
T000049,E0024,Sénégal,4,75.0,929633.59,Transfert,2021-09-03,2021-09-10,2021-09-20,7,17,10,1,1,1,3,1166531.07,-20.31,36.8
T000050,E0053,États-Unis,1,0.0,645967.09,Crédit documentaire,2022-07-26,2022-08-24,2022-08-24,29,29,0,0,0,0,6,665165.61,-2.89,15.3
T000051,E0070,Émirats arabes unis,2,25.0,529231.2,Transfert,2020-12-28,2021-01-03,2021-01-03,6,6,0,0,1,0,3,992403.69,-46.67,34.8
T000052,E0127,Italie,1,0.0,1044670.52,Remise documentaire,2020-11-20,2020-12-15,2020-12-15,25,25,0,0,0,0,1,,,19.1
T000053,E0022,États-Unis,1,0.0,1212399.81,Remise documentaire,2022-04-06,2022-04-29,2022-04-29,23,23,0,0,0,1,8,1725863.43,-29.75,29.8
T000054,E0119,Allemagne,1,0.0,1172512.05,Remise documentaire,2020-01-29,2020-02-18,2020-02-18,20,20,0,0,0,1,1,,,19.4
T000055,E0147,France,1,0.0,464312.99,Remise documentaire,2021-05-24,2021-06-10,2021-06-10,17,17,0,0,0,0,5,512637.09,-9.43,18.4
T000056,E0119,États-Unis,1,0.0,676315.05,Transfert,2021-09-18,2021-09-21,2021-09-24,3,6,3,1,0,0,8,232653.71,190.7,38.5
T000057,E0112,Côte d'Ivoire,4,75.0,932505.37,Transfert,2022-12-09,2022-12-15,2023-01-28,6,50,44,1,0,0,8,1376046.89,-32.23,49.7
T000058,E0058,Émirats arabes unis,2,25.0,1190218.05,Transfert,2021-01-20,2021-01-23,2021-01-23,3,3,0,0,0,0,4,811327.35,46.7,36.5
T000059,E0073,Allemagne,1,0.0,608330.3,Transfert,2020-09-25,2020-09-29,2020-09-29,4,4,0,0,0,0,3,1469028.95,-58.59,21.4
T000060,E0140,Belgique,1,0.0,725736.41,Remise documentaire,2024-06-10,2024-06-21,2024-06-21,11,11,0,0,0,0,7,868346.18,-16.42,7.5
T000061,E0101,Turquie,3,50.0,357466.01,Transfert,2020-04-08,2020-04-10,2020-04-10,2,2,0,0,1,0,1,,,38.4
T000062,E0057,États-Unis,1,0.0,321517.35,Transfert,2020-09-10,2020-09-19,2020-09-19,9,9,0,0,0,0,2,248932.25,29.16,18.5
T000063,E0088,Sénégal,4,75.0,1125010.33,Remise documentaire,2021-09-08,2021-10-01,2021-10-01,23,23,0,0,0,0,1,,,34.8
T000064,E0143,Turquie,3,50.0,1342496.01,Remise documentaire,2022-05-07,2022-05-20,2022-05-20,13,13,0,0,0,0,3,1308622.04,2.59,28.1
T000065,E0122,Espagne,1,0.0,771195.95,Transfert,2023-06-01,2023-06-05,2023-06-05,4,4,0,0,0,0,8,397593.05,93.97,19.5
T000066,E0030,Belgique,1,0.0,1201413.16,Remise documentaire,2021-08-27,2021-09-11,2021-10-13,15,47,32,1,0,0,4,590191.89,103.56,15.3
T000067,E0047,Émirats arabes unis,2,25.0,944654.41,Transfert,2020-01-06,2020-01-07,2020-01-07,1,1,0,0,0,0,1,,,20.4
T000068,E0062,Sénégal,4,75.0,541952.1,Transfert,2020-07-03,2020-07-12,2020-07-19,9,16,7,1,0,0,2,177348.33,205.59,54.4
T000069,E0031,Émirats arabes unis,2,25.0,944558.24,Crédit documentaire,2021-08-29,2021-10-04,2021-10-04,36,36,0,0,0,0,1,,,16.4
T000070,E0096,France,1,0.0,1415214.63,Crédit documentaire,2022-01-07,2022-02-16,2022-02-16,40,40,0,0,0,0,7,848919.0,66.71,15.0
T000071,E0049,France,1,0.0,785669.58,Transfert,2020-10-10,2020-10-13,2020-11-11,3,32,29,1,0,0,3,748832.96,4.92,32.8
T000072,E0103,Côte d'Ivoire,4,75.0,1425857.46,Transfert,2024-07-27,2024-08-02,2024-08-28,6,32,26,1,0,0,12,830321.82,71.72,46.9
T000073,E0065,États-Unis,1,0.0,1128761.0,Remise documentaire,2022-09-06,2022-09-29,2022-09-29,23,23,0,0,0,0,6,908182.73,24.29,21.1
T000074,E0150,Côte d'Ivoire,4,75.0,834818.83,Remise documentaire,2024-09-25,2024-10-10,2024-11-17,15,53,38,1,0,0,10,869831.13,-4.03,34.4
T000075,E0082,Émirats arabes unis,2,25.0,680397.06,Transfert,2022-02-16,2022-02-22,2022-02-22,6,6,0,0,0,0,6,267506.82,154.35,31.3
T000076,E0062,Côte d'Ivoire,4,75.0,836704.31,Crédit documentaire,2020-09-24,2020-11-13,2020-11-13,50,50,0,0,1,0,5,654555.12,27.83,33.2
T000077,E0078,France,1,0.0,712131.24,Transfert,2023-09-03,2023-09-09,2023-10-23,6,50,44,1,0,0,7,644919.38,10.42,25.1
T000078,E0071,Côte d'Ivoire,4,75.0,942845.03,Remise documentaire,2023-10-03,2023-10-23,2023-10-23,20,20,0,0,0,0,4,1630104.35,-42.16,37.5
T000079,E0032,États-Unis,1,0.0,1391157.62,Remise documentaire,2021-05-24,2021-06-18,2021-06-18,25,25,0,0,0,0,2,1185634.87,17.33,9.3
T000080,E0027,Chine,3,50.0,592691.91,Crédit documentaire,2023-06-09,2023-07-02,2023-07-13,23,34,11,1,0,0,10,432539.22,37.03,25.8
T000081,E0141,Émirats arabes unis,2,25.0,476602.56,Crédit documentaire,2020-06-02,2020-07-23,2020-08-14,51,73,22,1,0,1,2,1053112.75,-54.74,26.3
T000082,E0093,Allemagne,1,0.0,599297.18,Remise documentaire,2022-02-14,2022-03-08,2022-03-08,22,22,0,0,0,0,6,1471080.33,-59.26,10.4
T000083,E0042,Turquie,3,50.0,1166160.85,Transfert,2022-10-17,2022-10-25,2022-10-25,8,8,0,0,0,0,7,1585890.05,-26.47,30.4
T000084,E0035,France,1,0.0,931500.44,Transfert,2022-04-24,2022-04-25,2022-04-25,1,1,0,0,1,0,4,741199.2,25.67,19.8
T000085,E0137,Turquie,3,50.0,588095.92,Crédit documentaire,2023-07-29,2023-09-06,2023-09-06,39,39,0,0,0,0,8,1062621.44,-44.66,33.3
T000086,E0145,Émirats arabes unis,2,25.0,1005306.97,Crédit documentaire,2022-01-14,2022-02-06,2022-02-06,23,23,0,0,0,0,4,593582.11,69.36,36.7
T000087,E0068,Turquie,3,50.0,838831.02,Remise documentaire,2024-01-07,2024-01-28,2024-01-28,21,21,0,0,1,0,11,1131762.23,-25.88,28.5
T000088,E0022,Allemagne,1,0.0,1187458.0,Transfert,2021-12-28,2022-01-02,2022-01-26,5,29,24,1,0,1,6,271817.35,336.86,48.5
T000089,E0037,Italie,1,0.0,519178.76,Transfert,2024-08-10,2024-08-17,2024-08-17,7,7,0,0,0,0,10,618708.78,-16.09,13.0
T000090,E0098,États-Unis,1,0.0,668935.14,Transfert,2024-08-15,2024-08-19,2024-08-19,4,4,0,0,0,0,10,1501917.67,-55.46,21.3
T000091,E0033,Sénégal,4,75.0,643156.74,Remise documentaire,2023-04-20,2023-05-03,2023-05-03,13,13,0,0,0,0,7,1494385.52,-56.96,32.9
T000092,E0067,Chine,3,50.0,214594.02,Transfert,2022-10-18,2022-10-19,2022-10-19,1,1,0,0,1,0,9,578564.7,-62.91,42.8
T000093,E0004,Turquie,3,50.0,918448.11,Transfert,2022-11-07,2022-11-10,2022-11-10,3,3,0,0,0,0,7,726406.67,26.44,41.8
T000094,E0076,Espagne,1,0.0,904422.11,Transfert,2023-05-14,2023-05-24,2023-05-24,10,10,0,0,0,0,8,1111344.43,-18.62,14.2
T000095,E0059,Turquie,3,50.0,802045.38,Crédit documentaire,2024-04-10,2024-05-15,2024-06-06,35,57,22,1,0,0,5,307654.27,160.7,42.6
T000096,E0120,Italie,1,0.0,706165.15,Transfert,2023-05-18,2023-05-27,2023-05-27,9,9,0,0,0,0,7,441098.25,60.09,21.8
T000097,E0052,Côte d'Ivoire,4,75.0,233851.7,Remise documentaire,2023-02-07,2023-03-09,2023-03-23,30,44,14,1,0,0,8,832731.74,-71.92,38.0
T000098,E0012,Belgique,1,0.0,631741.87,Crédit documentaire,2020-09-28,2020-10-29,2020-10-29,31,31,0,0,0,0,2,584096.13,8.16,3.7
T000099,E0026,Espagne,1,0.0,662914.19,Remise documentaire,2023-02-25,2023-03-22,2023-05-04,25,68,43,1,0,0,7,436790.37,51.77,30.0
T000100,E0127,Chine,3,50.0,479089.09,Transfert,2024-10-01,2024-10-08,2024-10-08,7,7,0,0,0,1,13,873343.97,-45.14,42.1
T000101,E0107,Italie,1,0.0,735485.72,Transfert,2020-04-25,2020-04-29,2020-05-10,4,15,11,1,0,0,1,,,24.3
T000102,E0038,Italie,1,0.0,961620.34,Remise documentaire,2023-11-15,2023-12-04,2023-12-04,19,19,0,0,0,0,10,754105.42,27.52,9.0
T000103,E0148,Émirats arabes unis,2,25.0,1554474.36,Transfert,2023-10-15,2023-10-24,2023-10-24,9,9,0,0,0,0,6,431133.87,260.55,41.9
T000104,E0150,Allemagne,1,0.0,869831.13,Transfert,2024-06-19,2024-06-24,2024-06-24,5,5,0,0,0,0,9,856354.5,1.57,17.8
T000105,E0008,États-Unis,1,0.0,903020.16,Crédit documentaire,2023-11-04,2023-12-14,2023-12-14,40,40,0,0,0,0,9,860157.51,4.98,16.1
T000106,E0086,Allemagne,1,0.0,770221.63,Remise documentaire,2024-05-18,2024-06-11,2024-06-11,24,24,0,0,0,0,9,920618.94,-16.34,12.7
T000107,E0004,Sénégal,4,75.0,789394.45,Transfert,2023-04-20,2023-04-29,2023-04-29,9,9,0,0,1,0,8,918448.11,-14.05,48.0
T000108,E0079,Allemagne,1,0.0,824092.08,Transfert,2020-12-29,2020-12-31,2020-12-31,2,2,0,0,0,0,4,767139.53,7.42,18.1
T000109,E0038,États-Unis,1,0.0,1785296.84,Transfert,2021-07-25,2021-08-03,2021-08-03,9,9,0,0,0,0,4,1630699.19,9.48,15.7
T000110,E0137,France,1,0.0,723055.61,Transfert,2023-12-24,2023-12-27,2024-01-17,3,24,21,1,0,0,9,588095.92,22.95,26.0
T000111,E0086,Sénégal,4,75.0,920618.94,Remise documentaire,2023-09-17,2023-10-06,2023-10-06,19,19,0,0,0,0,8,651117.29,41.39,37.4
T000112,E0069,Côte d'Ivoire,4,75.0,786115.29,Transfert,2021-03-26,2021-03-29,2021-03-29,3,3,0,0,0,1,2,1331277.66,-40.95,43.0
T000113,E0062,Chine,3,50.0,332528.78,Transfert,2020-07-07,2020-07-13,2020-07-27,6,20,14,1,0,0,3,541952.1,-38.64,34.2
T000114,E0079,Pays-Bas,1,0.0,1257129.13,Transfert,2024-03-21,2024-03-31,2024-03-31,10,10,0,0,0,0,10,923928.28,36.06,21.3
T000115,E0125,Sénégal,4,75.0,1100773.21,Transfert,2023-10-01,2023-10-07,2023-11-18,6,48,42,1,0,0,10,903953.12,21.77,57.4
T000116,E0103,France,1,0.0,1116412.78,Remise documentaire,2021-10-19,2021-11-10,2021-11-10,22,22,0,0,0,0,6,1280485.57,-12.81,13.3
T000117,E0146,Chine,3,50.0,436245.02,Remise documentaire,2020-02-20,2020-03-17,2020-03-17,26,26,0,0,0,0,2,1044148.11,-58.22,30.0
T000118,E0095,Émirats arabes unis,2,25.0,1361117.72,Transfert,2021-08-30,2021-09-03,2021-09-03,4,4,0,0,0,0,6,948458.35,43.51,24.7
T000119,E0011,Chine,3,50.0,239259.57,Transfert,2023-07-07,2023-07-09,2023-08-19,2,43,41,1,0,0,7,988566.22,-75.8,36.8
T000120,E0013,États-Unis,1,0.0,1034742.84,Remise documentaire,2021-02-25,2021-03-24,2021-03-24,27,27,0,0,0,0,4,856686.77,20.78,28.6
T000121,E0119,États-Unis,1,0.0,1676182.25,Remise documentaire,2020-05-27,2020-06-10,2020-07-02,14,36,22,1,1,0,3,786126.05,113.22,29.2
T000122,E0145,Italie,1,0.0,403785.47,Remise documentaire,2023-02-16,2023-02-28,2023-03-15,12,27,15,1,0,0,9,1052324.67,-61.63,30.1
T000123,E0124,Émirats arabes unis,2,25.0,573480.91,Remise documentaire,2022-06-05,2022-06-25,2022-08-08,20,64,44,1,0,1,7,793430.84,-27.72,20.5
T000124,E0026,Côte d'Ivoire,4,75.0,839860.55,Remise documentaire,2024-03-28,2024-04-25,2024-04-30,28,33,5,1,1,0,9,1130873.3,-25.73,51.0
T000125,E0016,Pays-Bas,1,0.0,598609.74,Remise documentaire,2021-09-09,2021-10-08,2021-11-06,29,58,29,1,0,0,4,96504.21,520.29,26.0
T000126,E0132,France,1,0.0,179734.63,Transfert,2022-12-28,2023-01-01,2023-01-27,4,30,26,1,0,0,6,1295126.52,-86.12,29.4
T000127,E0131,Pays-Bas,1,0.0,827425.19,Crédit documentaire,2020-10-22,2020-11-30,2020-11-30,39,39,0,0,0,0,4,483810.22,71.02,13.9
T000128,E0027,Côte d'Ivoire,4,75.0,375078.51,Remise documentaire,2020-01-23,2020-02-19,2020-02-19,27,27,0,0,1,1,1,,,32.9
T000129,E0149,Turquie,3,50.0,989436.97,Remise documentaire,2023-01-05,2023-02-01,2023-02-01,27,27,0,0,0,0,3,1059483.96,-6.61,34.5
T000130,E0117,Côte d'Ivoire,4,75.0,432230.31,Transfert,2022-04-25,2022-05-04,2022-05-16,9,21,12,1,1,0,6,889515.18,-51.41,49.9
T000131,E0021,Allemagne,1,0.0,1419973.76,Transfert,2023-10-06,2023-10-16,2023-10-16,10,10,0,0,0,0,12,1100554.85,29.02,21.2
T000132,E0116,Chine,3,50.0,486698.68,Transfert,2023-01-30,2023-02-01,2023-02-06,2,7,5,1,0,1,9,892819.97,-45.49,42.1
T000133,E0113,Turquie,3,50.0,671175.39,Transfert,2021-11-08,2021-11-14,2021-12-26,6,48,42,1,0,0,3,1101336.65,-39.06,35.1
T000134,E0056,Espagne,1,0.0,1125406.89,Crédit documentaire,2021-10-12,2021-12-02,2021-12-02,51,51,0,0,0,0,6,1243273.13,-9.48,5.0
T000135,E0059,Turquie,3,50.0,307654.27,Transfert,2023-03-06,2023-03-12,2023-03-12,6,6,0,0,0,1,4,476680.69,-35.46,40.9
T000136,E0103,Belgique,1,0.0,890983.97,Transfert,2021-03-29,2021-04-05,2021-04-05,7,7,0,0,0,0,3,1401359.32,-36.42,20.5
T000137,E0119,Belgique,1,0.0,1322857.1,Crédit documentaire,2022-08-05,2022-09-22,2022-09-22,48,48,0,0,0,0,12,1274281.66,3.81,17.1
T000138,E0007,Italie,1,0.0,157006.71,Remise documentaire,2020-06-16,2020-07-04,2020-07-04,18,18,0,0,0,0,1,,,4.9
T000139,E0116,Pays-Bas,1,0.0,873853.54,Remise documentaire,2023-07-07,2023-07-19,2023-07-19,12,12,0,0,0,0,10,486698.68,79.55,24.7
T000140,E0125,Sénégal,4,75.0,903953.12,Transfert,2023-04-06,2023-04-16,2023-05-24,10,48,38,1,1,1,9,1196816.94,-24.47,57.1
T000141,E0015,Pays-Bas,1,0.0,1112729.15,Transfert,2023-01-10,2023-01-18,2023-01-18,8,8,0,0,0,0,10,1058193.67,5.15,25.7
T000142,E0017,Turquie,3,50.0,305219.72,Remise documentaire,2021-08-18,2021-09-01,2021-09-01,14,14,0,0,0,0,5,571528.4,-46.6,35.8
T000143,E0022,Chine,3,50.0,271817.35,Transfert,2021-05-04,2021-05-14,2021-06-16,10,43,33,1,1,1,5,1291067.6,-78.95,52.1
T000144,E0075,Turquie,3,50.0,1008776.63,Crédit documentaire,2023-09-12,2023-10-11,2023-10-11,29,29,0,0,0,0,11,336654.12,199.65,34.0
T000145,E0082,Allemagne,1,0.0,918793.87,Remise documentaire,2021-04-19,2021-05-01,2021-05-01,12,12,0,0,0,0,3,1072600.28,-14.34,7.9
T000146,E0043,Chine,3,50.0,900197.14,Crédit documentaire,2022-01-09,2022-02-22,2022-02-22,44,44,0,0,0,1,2,1211662.25,-25.71,20.7
T000147,E0118,Sénégal,4,75.0,938579.28,Transfert,2023-12-12,2023-12-21,2023-12-21,9,9,0,0,0,0,7,498414.16,88.31,42.0
T000148,E0067,Turquie,3,50.0,527990.11,Transfert,2020-12-22,2020-12-29,2020-12-29,7,7,0,0,0,0,1,,,38.8
T000149,E0045,Espagne,1,0.0,892901.48,Transfert,2022-02-09,2022-02-13,2022-02-13,4,4,0,0,0,0,8,998685.66,-10.59,25.5
T000150,E0083,Émirats arabes unis,2,25.0,917228.99,Remise documentaire,2023-05-22,2023-06-01,2023-06-01,10,10,0,0,0,0,8,741177.05,23.75,16.1
T000151,E0129,Espagne,1,0.0,514259.43,Transfert,2021-07-29,2021-08-02,2021-08-13,4,15,11,1,0,0,1,,,23.8
T000152,E0053,Espagne,1,0.0,1546309.8,Remise documentaire,2022-04-29,2022-05-19,2022-05-19,20,20,0,0,0,0,4,1175313.52,31.57,22.7
T000153,E0013,Allemagne,1,0.0,989533.17,Remise documentaire,2023-08-18,2023-09-10,2023-09-13,23,26,3,1,0,0,8,1203926.84,-17.81,28.3
T000154,E0133,Italie,1,0.0,323478.6,Remise documentaire,2020-03-21,2020-04-18,2020-04-29,28,39,11,1,0,0,1,,,25.3
T000155,E0137,États-Unis,1,0.0,1062621.44,Remise documentaire,2023-02-28,2023-03-30,2023-05-12,30,73,43,1,0,0,7,935398.56,13.6,20.2
T000156,E0015,Allemagne,1,0.0,410127.33,Transfert,2022-08-23,2022-08-31,2022-09-27,8,35,27,1,0,0,7,950279.21,-56.84,27.8
T000157,E0139,Italie,1,0.0,1114833.84,Remise documentaire,2022-11-12,2022-11-30,2023-01-13,18,62,44,1,0,0,6,655613.53,70.04,32.5
T000158,E0146,Turquie,3,50.0,1263438.23,Transfert,2022-02-13,2022-02-20,2022-02-22,7,9,2,1,0,0,4,899753.47,40.42,36.7
T000159,E0049,Chine,3,50.0,471727.07,Remise documentaire,2024-08-19,2024-09-02,2024-09-14,14,26,12,1,0,0,12,1209625.01,-61.0,45.3
T000160,E0081,France,1,0.0,1185350.45,Crédit documentaire,2022-12-24,2023-02-14,2023-02-14,52,52,0,0,0,0,7,1888067.67,-37.22,12.3
T000161,E0087,Turquie,3,50.0,965112.37,Transfert,2020-01-03,2020-01-10,2020-01-10,7,7,0,0,0,1,1,,,32.9
T000162,E0095,Chine,3,50.0,1128824.06,Transfert,2024-07-01,2024-07-09,2024-07-09,8,8,0,0,0,0,12,1684209.2,-32.98,30.8
T000163,E0052,Côte d'Ivoire,4,75.0,1558717.19,Crédit documentaire,2024-09-10,2024-11-05,2024-11-14,56,65,9,1,1,0,11,1630160.32,-4.38,33.2
T000164,E0146,Espagne,1,0.0,701844.75,Transfert,2023-01-18,2023-01-25,2023-01-25,7,7,0,0,1,0,8,1467608.61,-52.18,21.2
T000165,E0064,France,1,0.0,498505.53,Remise documentaire,2020-08-29,2020-09-24,2020-11-05,26,68,42,1,0,0,1,,,5.7
T000166,E0099,États-Unis,1,0.0,444194.23,Transfert,2020-11-12,2020-11-19,2020-11-19,7,7,0,0,0,0,3,792144.88,-43.93,19.9
T000167,E0033,États-Unis,1,0.0,473675.89,Remise documentaire,2023-06-07,2023-06-25,2023-06-25,18,18,0,0,0,0,8,643156.74,-26.35,7.7
T000168,E0129,Chine,3,50.0,769159.32,Remise documentaire,2022-09-15,2022-09-30,2022-11-05,15,51,36,1,0,0,6,398988.25,92.78,40.4
T000169,E0055,Turquie,3,50.0,936460.79,Transfert,2023-12-15,2023-12-22,2023-12-22,7,7,0,0,0,0,8,631606.21,48.27,31.5
T000170,E0016,Côte d'Ivoire,4,75.0,910676.32,Transfert,2024-05-22,2024-05-25,2024-06-27,3,36,33,1,0,0,6,774344.66,17.61,41.6
T000171,E0026,Chine,3,50.0,1130873.3,Remise documentaire,2023-11-02,2023-11-13,2023-12-24,11,52,41,1,1,1,8,662914.19,70.59,47.6
